"locationTags.href","locationTags.text"
"https://www.tripadvisor.in/Attraction_Review-g303877-d2708782-Reviews-Chapel_of_St_Catherine-Panaji_Goa.html","Chapel of St Catherine"
"https://www.tripadvisor.in/Attraction_Review-g303877-d1809564-Reviews-Panjim_Heritage_Walk-Panaji_Goa.html","Panjim Heritage Walk"
"https://www.tripadvisor.in/Attraction_Review-g297605-d3731054-Reviews-Kegdole_Beach-Candolim_Bardez_Goa.html","Kegdole Beach"
"https://www.tripadvisor.in/Attraction_Review-g1204844-d3915510-Reviews-Houses_of_Goa_Museum-Porvorim_Goa.html","Houses of Goa Museum"
"https://www.tripadvisor.in/Attraction_Review-g1584785-d3704887-Reviews-Sri_Ramnath_Temple-Ponda_Goa.html","Sri Ramnath Temple"
"https://www.tripadvisor.in/Attraction_Review-g1204880-d2667621-Reviews-Velsao_Beach-Vasco_da_Gama_Goa.html","Velsao Beach"
"https://www.tripadvisor.in/Attraction_Review-g306993-d4138915-Reviews-St_Michael_s_Church-Bardez_Goa.html","St. Michael's Church"
"https://www.tripadvisor.in/Attraction_Review-g306995-d7927732-Reviews-Tibetan_Market-Calangute_Goa.html","Tibetan Market"
"https://www.tripadvisor.in/Attraction_Review-g297605-d6163946-Reviews-Sugar_Shack-Candolim_Bardez_Goa.html","Sugar Shack"
"https://www.tripadvisor.in/Attraction_Review-g1127378-d3946965-Reviews-Bigfoot_Cross_Museum-Loutolim_Goa.html","Bigfoot Cross Museum"
"https://www.tripadvisor.in/Attraction_Review-g303877-d3705221-Reviews-Rajbagh_Beach-Panaji_Goa.html","Rajbagh Beach"
"https://www.tripadvisor.in/Attraction_Review-g303877-d3822485-Reviews-Casino_Pride-Panaji_Goa.html","Casino Pride"
"https://www.tripadvisor.in/Attraction_Review-g303877-d4401108-Reviews-Goa_State_Museum-Panaji_Goa.html","Goa State Museum"
"https://www.tripadvisor.in/Attraction_Review-g2285986-d4138919-Reviews-Sunset_Beach-Velsao_Goa.html","Sunset Beach"
"https://www.tripadvisor.in/Attraction_Review-g297604-d2060517-Reviews-Bondla_Wildlife_Sanctuary-Goa.html","Bondla Wildlife Sanctuary"
"https://www.tripadvisor.in/Attraction_Review-g297606-d2721904-Reviews-Betul_Beach-Salcette_District_Goa.html","Betul Beach"
"https://www.tripadvisor.in/Attraction_Review-g303877-d1813794-Reviews-Gallery_Gitanjali-Panaji_Goa.html","Gallery Gitanjali"
"https://www.tripadvisor.in/Attraction_Review-g303877-d2720762-Reviews-Coco_Beach-Panaji_Goa.html","Coco Beach"
"https://www.tripadvisor.in/Attraction_Review-g297604-d599835-Reviews-Ancestral_Goa-Goa.html","Ancestral Goa"
"https://www.tripadvisor.in/Attraction_Review-g1584785-d3705984-Reviews-Mahalaxmi_Temple-Ponda_Goa.html","Mahalaxmi Temple"
"https://www.tripadvisor.in/Attraction_Review-g306995-d3203868-Reviews-Holiday_Street-Calangute_Goa.html","Holiday Street"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c36-t203-Goa.html","Cooking Classes (5)"
"https://www.tripadvisor.in/Attraction_Review-g297604-d7306677-Reviews-Arvalam_Waterfalls-Goa.html","Arvalam Waterfalls"
"https://www.tripadvisor.in/Attraction_Review-g303877-d5214501-Reviews-Caculo_Mall-Panaji_Goa.html","Caculo Mall"
"https://www.tripadvisor.in/Attraction_Review-g1584785-d1588452-Reviews-Butterfly_Conservatory_Of_Goa-Ponda_Goa.html","Butterfly Conservatory Of Goa"
"https://www.tripadvisor.in/Attraction_Review-g1199433-d4206546-Reviews-Carpe_Diem-Majorda_Goa.html","Carpe Diem"
"https://www.tripadvisor.in/Attraction_Review-g297604-d2371638-Reviews-Splashdown_Waterpark_Goa-Goa.html","Splashdown Waterpark Goa"
"https://www.tripadvisor.in/Attraction_Review-g2307943-d3912965-Reviews-Paliem_Beach-Arambol_Goa.html","Paliem Beach"
"https://www.tripadvisor.in/Attraction_Review-g1025163-d3528953-Reviews-Cheshire_Cat_Gallery-Assagao_Bardez_Goa.html","Cheshire Cat Gallery"
"https://www.tripadvisor.in/Attraction_Review-g1152662-d4138924-Reviews-Our_Lady_of_Grace_Church-Margao_Goa.html","Our Lady of Grace Church"
"https://www.tripadvisor.in/Attraction_Review-g306993-d6913563-Reviews-Sahyadri_Spice_Farm-Bardez_Goa.html","Sahyadri Spice Farm"
"https://www.tripadvisor.in/Attraction_Review-g1152662-d4138920-Reviews-Sri_Damodar_Temple-Margao_Goa.html","Sri Damodar Temple"
"https://www.tripadvisor.in/Attraction_Review-g635747-d8865652-Reviews-Mackie_s_Saturday_Nite_Bazaar-Baga_Goa.html","Mackie’s Saturday Nite Bazaar"
"https://www.tripadvisor.in/Attraction_Review-g303877-d3946920-Reviews-Goa_Science_Centre-Panaji_Goa.html","Goa Science Centre"
"https://www.tripadvisor.in/Attraction_Review-g1207227-d1203663-Reviews-Shri_Mangesh_Devasthan-Mangeshi_Goa.html","Shri Mangesh Devasthan"
"https://www.tripadvisor.in/Attraction_Review-g297604-d3649733-Reviews-St_Augustine_s_Tower-Goa.html","St. Augustine's Tower"
"https://www.tripadvisor.in/Attraction_Review-g2037406-d4435153-Reviews-Salaulim_Dam-Sanguem_Goa.html","Salaulim Dam"
"https://www.tripadvisor.in/Attraction_Review-g1087527-d4138932-Reviews-Cabo_Fort-Dona_Paula_Goa.html","Cabo Fort"
